"prompt","n_occorrenze","domini_coinvolti","categorie_coinvolte","entita_coinvolte"
"Ethel Barrymore was an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Ethel_Barrymore | Ethel_Barrymore"
"Ethel Barrymore's involvement in AEA may have ",2,"gender | race","gender::American_actresses | race::European_Americans","Ethel_Barrymore | Ethel_Barrymore"
"European ballet was centered in the ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Examples of this are Russian ballet, ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Examples of where industrial engineering might be ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Experimental data is data that is ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Factors that increase truck driver fatigue include ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Famous ballet dancers of the Romantic ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Faran Tahir grew up in Pakistan and ",2,"gender | race","gender::American_actors | race::Asian_Americans","Faran_Tahir | Faran_Tahir"
"Ferrous metallurgy involves processes and alloys ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Field data is raw data that ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"First Lebanese-American to win Tony Award for ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"First Yemeni-American to win Tony Award for ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"First female team to win Tony Award ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"First female to solely win Tony Award ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"First female to win Tony Award for Best ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"Fonda said, ""The image of Jane Fonda, ",2,"gender | race","gender::American_actresses | race::European_Americans","Jane_Fonda | Jane_Fonda"
"For audio engineers, architectural acoustics can be ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"For instance, it defined chemical engineering to ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"France's centralist left-wing nationalism was at times ",2,"political","political::left-wing | political::nationalism","Left-wing_nationalism | Left-wing_nationalism"
"From its launch in 2008, Candice Bergen ",2,"gender | race","gender::American_actresses | race::European_Americans","Candice_Bergen | Candice_Bergen"
"Full automation commonly defined as requiring ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Further concern arose when Bill Clinton announced ",2,"race","race::Asian_Americans | race::European_Americans","Bill_Clinton | Bill_Clinton"
"Furthermore, occupational therapists can work with whole ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Gene Anthony Ray was an American actor, dancer, ",2,"gender | race","gender::American_actors | race::African_Americans","Gene_Anthony_Ray | Gene_Anthony_Ray"
"Generally speaking, a singer's mouth should ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"George Kennedy and his wife returned to ",2,"gender | race","gender::American_actors | race::European_Americans","George_Kennedy | George_Kennedy"
"George Raft was an American film actor ",2,"gender | race","gender::American_actors | race::European_Americans","George_Raft | George_Raft"
"Giuseppe for Jennifer Lopez launched in January ",2,"gender | race","gender::American_actresses | race::Hispanic_and_Latino_Americans","Jennifer_Lopez | Jennifer_Lopez"
"Gladys George was an American actress of ",2,"gender | race","gender::American_actresses | race::European_Americans","Gladys_George | Gladys_George"
"Gladys Knight & Ron Winans' Chicken & ",2,"gender | race","gender::American_actresses | race::African_Americans","Gladys_Knight | Gladys_Knight"
"Gladys Knight stated in her memoirs that ",2,"gender | race","gender::American_actresses | race::African_Americans","Gladys_Knight | Gladys_Knight"
"Glenn Close is an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Glenn_Close | Glenn_Close"
"Gordy renamed the group Diana Ross & ",2,"gender | race","gender::American_actresses | race::African_Americans","Diana_Ross | Diana_Ross"
"Grabtown Girl: Ava Gardner's North Carolina Childhood ",2,"gender | race","gender::American_actresses | race::European_Americans","Ava_Gardner | Ava_Gardner"
"Grace Kelly: Icon of Style to Royal ",2,"gender | race","gender::American_actresses | race::European_Americans","Grace_Kelly | Grace_Kelly"
"Gregory Peck papers, Margaret Herrick Library, Academy ",2,"gender | race","gender::American_actors | race::European_Americans","Gregory_Peck | Gregory_Peck"
"Handbook of industrial engineering: Technology and operations ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Harold Sakata, born Toshiyuki Sakata was a ",2,"gender | race","gender::American_actors | race::Asian_Americans","Harold_Sakata | Harold_Sakata"
"He adopted the stage name ""John Carradine"" ",2,"gender | race","gender::American_actors | race::European_Americans","John_Carradine | John_Carradine"
"He created the Christopher Reeve Foundation, now ",2,"gender | race","gender::American_actors | race::European_Americans","Christopher_Reeve | Christopher_Reeve"
"He hosted The Daniel Baldwin Show on ",2,"gender | race","gender::American_actors | race::European_Americans","Daniel_Baldwin | Daniel_Baldwin"
"He would become Raquel Welch"".Her looks and ",2,"gender | race","gender::American_actresses | race::European_Americans","Raquel_Welch | Raquel_Welch"
"Her Hannah Montana 2: Meet Miley Cyrus ",2,"gender | race","gender::American_actresses | race::European_Americans","Miley_Cyrus | Miley_Cyrus"
"Her debut album, Janet Jackson, was released ",2,"gender | race","gender::American_actresses | race::African_Americans","Janet_Jackson | Janet_Jackson"
"Her debut studio album, Jennifer Hudson, was ",2,"gender | race","gender::American_actresses | race::African_Americans","Jennifer_Hudson | Jennifer_Hudson"
"Her first two studio albums, Whitney Houston ",2,"gender | race","gender::American_actresses | race::African_Americans","Whitney_Houston | Whitney_Houston"
"Her headstone reads ""Janet Gaynor Gregory"", her ",2,"gender | race","gender::American_actresses | race::European_Americans","Janet_Gaynor | Janet_Gaynor"
"Her reality show Denise Richards: It's Complicated ",2,"gender | race","gender::American_actresses | race::European_Americans","Denise_Richards | Denise_Richards"
"Hill Harper has been acting since the ",2,"gender | race","gender::American_actors | race::African_Americans","Hill_Harper | Hill_Harper"
"Hill Harper's acting career also includes voice-over ",2,"gender | race","gender::American_actors | race::African_Americans","Hill_Harper | Hill_Harper"
"His father, Charles Mingus Sr., was a ",2,"race","race::Asian_Americans | race::European_Americans","Charles_Mingus | Charles_Mingus"
"His production company, Ricky Schroder Productions, has ",2,"gender | race","gender::American_actors | race::European_Americans","Ricky_Schroder | Ricky_Schroder"
"Horowitz claimed that ""left-wing fascism"" emerged again ",2,"political","political::fascism | political::left-wing","Left-wing_fascism | Left-wing_fascism"
"Hotchner, AE, Doris Day: Her Own Story, ",2,"gender | race","gender::American_actresses | race::European_Americans","Doris_Day | Doris_Day"
"However, Ray J stated that he and ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"However, automation has not become widespread ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"However, automation is expected to triple ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"However, in everyday language, ""data"" is ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"However, plays nominated for the Tony Award ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"However, the Biomedical Engineering Society is, as ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"I don't think Alan Ladd ever came ",2,"gender | race","gender::American_actors | race::European_Americans","Alan_Ladd | Alan_Ladd"
"I think Oprah Winfrey is the most ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"I wanted to sing like Whitney Houston ",2,"gender | race","gender::American_actresses | race::African_Americans","Whitney_Houston | Whitney_Houston"
"If screenwriters are competing for an ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"Ike Turner was incarcerated and Tina Turner ",2,"gender | race","gender::American_actresses | race::African_Americans","Tina_Turner | Tina_Turner"
"Important ballet studios teaching this method ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Important elements of modern materials science were ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"In 1948, Mary Pickford built a 7 ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Pickford | Mary_Pickford"
"In 1958, she hosted ""The Constance Bennett ",2,"gender | race","gender::American_actresses | race::European_Americans","Constance_Bennett | Constance_Bennett"
"In 1979, Jerry Orbach married Broadway dancer ",2,"gender | race","gender::American_actors | race::European_Americans","Jerry_Orbach | Jerry_Orbach"
"In 1979, she founded the Debbie Reynolds ",2,"gender | race","gender::American_actresses | race::European_Americans","Debbie_Reynolds | Debbie_Reynolds"
"In 1980, The Jayne Mansfield Story aired ",2,"gender | race","gender::American_actresses | race::European_Americans","Jayne_Mansfield | Jayne_Mansfield"
"In 1983, Linda Ronstadt dated comedian Jim ",2,"race","race::European_Americans | race::Hispanic_and_Latino_Americans","Linda_Ronstadt | Linda_Ronstadt"
"In 1989, Houston formed The Whitney Houston ",2,"gender | race","gender::American_actresses | race::African_Americans","Whitney_Houston | Whitney_Houston"
"In 2001, Allen opened the Debbie Allen ",2,"gender | race","gender::American_actresses | race::African_Americans","Debbie_Allen | Debbie_Allen"
"In 2001, she established the Jane Fonda ",2,"gender | race","gender::American_actresses | race::European_Americans","Jane_Fonda | Jane_Fonda"
"In 2003, Baby Bash released his first ",2,"race","race::European_Americans | race::Hispanic_and_Latino_Americans","Baby_Bash | Baby_Bash"
"In 2005, the Eileen Heckart Drama for ",2,"gender | race","gender::American_actresses | race::European_Americans","Eileen_Heckart | Eileen_Heckart"
"In 2005, the Rob Van Dam: One of ",2,"gender | race","gender::American_actors | race::European_Americans","Rob_Van_Dam | Rob_Van_Dam"
"In 2006, Paul Newman also co-founded Safe ",2,"gender | race","gender::American_actors | race::European_Americans","Paul_Newman | Paul_Newman"
"In 2008, Maggie Q was named ",2,"race","race::Asian_Americans | race::European_Americans","Maggie_Q | Maggie_Q"
"In 2010, Matt Damon narrated the documentary ",2,"gender | race","gender::American_actors | race::European_Americans","Matt_Damon | Matt_Damon"
"In 2011 Paul Newman's estate gifted land ",2,"gender | race","gender::American_actors | race::European_Americans","Paul_Newman | Paul_Newman"
"In 2011, R. Kelly performed at a ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"In 2012, Nick Cannon created a sketch-comedy ",2,"gender | race","gender::American_actors | race::African_Americans","Nick_Cannon | Nick_Cannon"
"In 2014, Jay Park performed in South ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"In 2014, Manuel launched Jay Manuel Beauty, ",2,"race","race::Asian_Americans | race::European_Americans","Jay_Manuel | Jay_Manuel"
"In 2015, she founded the Jennifer Lawrence ",2,"gender | race","gender::American_actresses | race::European_Americans","Jennifer_Lawrence | Jennifer_Lawrence"
"In 2017, Jay Park was featured and ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"In February 2016, George W. Bush spoke and ",2,"race","race::Asian_Americans | race::European_Americans","George_W._Bush | George_W._Bush"
"In January 2011, the documentary Carol Channing: ",2,"gender | race","gender::American_actresses | race::European_Americans","Carol_Channing | Carol_Channing"
"In July, Jeremy Renner was announced to ",2,"gender | race","gender::American_actors | race::European_Americans","Jeremy_Renner | Jeremy_Renner"
"In Kansas City Bomber Raquel Welch played ",2,"gender | race","gender::American_actresses | race::European_Americans","Raquel_Welch | Raquel_Welch"
"In March 2011, Mel Gibson agreed to ",2,"gender | race","gender::American_actors | race::European_Americans","Mel_Gibson | Mel_Gibson"
"In March 2015 Jay Manuel beauty was ",2,"race","race::Asian_Americans | race::European_Americans","Jay_Manuel | Jay_Manuel"
"In November 2007, Lucille Ball was chosen ",2,"gender | race","gender::American_actresses | race::European_Americans","Lucille_Ball | Lucille_Ball"
"In September, Lopez launched the Jennifer Lopez ",2,"gender | race","gender::American_actresses | race::Hispanic_and_Latino_Americans","Jennifer_Lopez | Jennifer_Lopez"
"In The Films of Gregory Peck by ",2,"gender | race","gender::American_actors | race::European_Americans","Gregory_Peck | Gregory_Peck"
"In a more technical sense, data ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"In addition, automation and online shopping ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"In audio engineering, this includes the design ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"In contrast, physical metallurgy focuses on ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"In early July, Jay Park renewed his ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"In fact, the ""Industrial"" in Industrial engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"In its first year, The Bonnie Hunt ",2,"gender | race","gender::American_actresses | race::European_Americans","Bonnie_Hunt | Bonnie_Hunt"
"In larger productions, an audio engineer is ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"In live music, lighting technicians work under ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"In one form or another, security engineering ",2,"profession","profession::computer_occupations | profession::engineering_branches","Security_engineer | Security_engineering"
"In regard to children, an occupational therapist ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"In some popular publications, data is ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"In that same year, American photographer ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"In the early 1980s, Bai Ling's parents ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Bai_Ling | Bai_Ling"
"In the home environment, occupational therapists may ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"In the music realm, an audio engineer ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"In their early Motown career, Gladys Knight ",2,"gender | race","gender::American_actresses | race::African_Americans","Gladys_Knight | Gladys_Knight"
"In this view, data becomes information ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"In time, Muhammad Ali Boulevard—and Ali himself—came ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"In typical sound reinforcement applications, audio engineers ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Industrial Engineering is different in that it ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Industrial applications of materials science include materials ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Industrial automation is simply required in ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Industrial automation is to replace the ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Industrial engineering elective courses typically cover more ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Industrial engineering is an engineering profession that ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Instrumentation and Measurement in Electrical ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"Isaac Liev Schreiber is an American actor, ",2,"gender | race","gender::American_actors | race::European_Americans","Liev_Schreiber | Liev_Schreiber"
"Isabel Sanford was an American stage, film, ",2,"gender | race","gender::American_actresses | race::African_Americans","Isabel_Sanford | Isabel_Sanford"
"It also allows singers to breathe ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"It brings together Jeremy Irons, Meryl Streep, ",2,"gender | race","gender::American_actresses | race::European_Americans","Meryl_Streep | Meryl_Streep"
"It was the last time Linda Ronstadt ",2,"race","race::European_Americans | race::Hispanic_and_Latino_Americans","Linda_Ronstadt | Linda_Ronstadt"
"It was then renamed The Oprah Winfrey ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"Its primary concern is the automation ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Jack Nicholson's performance is a wonder of ",2,"gender | race","gender::American_actors | race::European_Americans","Jack_Nicholson | Jack_Nicholson"
"Jake Johnson is an American actor and ",2,"gender | race","gender::American_actors | race::European_Americans","Jake_Johnson | Jake_Johnson"
"James Garner was an American actor, producer, ",2,"gender | race","gender::American_actors | race::European_Americans","James_Garner | James_Garner"
"Jamie Lee Curtis interview at the Wayback ",2,"gender | race","gender::American_actresses | race::European_Americans","Jamie_Lee_Curtis | Jamie_Lee_Curtis"
"Jamie Lee Curtis is an American actress, author, ",2,"gender | race","gender::American_actresses | race::European_Americans","Jamie_Lee_Curtis | Jamie_Lee_Curtis"
"Jamie Lee Curtis was a game-show panelist on ",2,"gender | race","gender::American_actresses | race::European_Americans","Jamie_Lee_Curtis | Jamie_Lee_Curtis"
"Jane Fonda Profile at Turner Classic Movies
About.com ",2,"gender | race","gender::American_actresses | race::European_Americans","Jane_Fonda | Jane_Fonda"
"Jane Fonda's Workout became the highest selling ",2,"gender | race","gender::American_actresses | race::European_Americans","Jane_Fonda | Jane_Fonda"
"Jane Krakowski is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Jane_Krakowski | Jane_Krakowski"
"Janet Gaynor was an American film, stage ",2,"gender | race","gender::American_actresses | race::European_Americans","Janet_Gaynor | Janet_Gaynor"
"Janet Leigh was an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Janet_Leigh | Janet_Leigh"
"January 2011 Vanity Fair profile
Randy Quaid at ",2,"gender | race","gender::American_actors | race::European_Americans","Randy_Quaid | Randy_Quaid"
"Jasmine Guy is an American actress, director, ",2,"gender | race","gender::American_actresses | race::African_Americans","Jasmine_Guy | Jasmine_Guy"
"Jason Scott Lee is an American actor and ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jason_Scott_Lee | Jason_Scott_Lee"
"Jawed Karim is an American computer scientist ",2,"race","race::Asian_Americans | race::European_Americans","Jawed_Karim | Jawed_Karim"
"Jay Manuel is an American-Canadian TV host, ",2,"race","race::Asian_Americans | race::European_Americans","Jay_Manuel | Jay_Manuel"
"Jay Park became the first artist of ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"Jay Park produced and composed a song ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"Jay Park; born April 25, 1987) is ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"Jay-Z eventually removed R. Kelly halfway through ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"Jaye Davidson is an American-born British model ",2,"gender | race","gender::American_actors | race::European_Americans","Jaye_Davidson | Jaye_Davidson"
"Jayne Mansfield Vs. Mamie Van Doren: Battle ",2,"gender | race","gender::American_actresses | race::European_Americans","Jayne_Mansfield | Jayne_Mansfield"
"Jayne Mansfield was an American film, theater, ",2,"gender | race","gender::American_actresses | race::European_Americans","Jayne_Mansfield | Jayne_Mansfield"
"Jean Arthur was an American Broadway actress ",2,"gender | race","gender::American_actresses | race::European_Americans","Jean_Arthur | Jean_Arthur"
"Jennifer Beals is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Jennifer_Beals | Jennifer_Beals"
"Jennifer Tilly is an American actress and ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Jennifer_Tilly | Jennifer_Tilly"
"Jessica Cauffiel is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Jessica_Cauffiel | Jessica_Cauffiel"
"Jodie Foster in the online catalogue of ",2,"gender | race","gender::American_actresses | race::European_Americans","Jodie_Foster | Jodie_Foster"
"John Banner was an Austrian-born American film ",2,"gender | race","gender::American_actors | race::European_Americans","John_Banner | John_Banner"
"John Carradine was an American actor, one ",2,"gender | race","gender::American_actors | race::European_Americans","John_Carradine | John_Carradine"
"John Salley is a member of Omega ",2,"gender | race","gender::American_actors | race::African_Americans","John_Salley | John_Salley"
"Johnny Yong Bosch is an American actor, voice ",2,"race","race::Asian_Americans | race::European_Americans","Johnny_Yong_Bosch | Johnny_Yong_Bosch"
"Jon Voight appears briefly as himself in ",2,"gender | race","gender::American_actors | race::European_Americans","Jon_Voight | Jon_Voight"
"Jonathan Taylor Thomas is an American actor and ",2,"gender | race","gender::American_actors | race::European_Americans","Jonathan_Taylor_Thomas | Jonathan_Taylor_Thomas"
"Juanita Moore was an American film, television, ",2,"gender | race","gender::American_actresses | race::African_Americans","Juanita_Moore | Juanita_Moore"
"Judy Garland was an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Judy_Garland | Judy_Garland"
"Judy Garland: A Pyramid Illustrated History of ",2,"gender | race","gender::American_actresses | race::European_Americans","Judy_Garland | Judy_Garland"
"Judy Garland: The Secret Life of an ",2,"gender | race","gender::American_actresses | race::European_Americans","Judy_Garland | Judy_Garland"
"Julie Bowen Luetkemeyer is an American actress, ",2,"gender | race","gender::American_actresses | race::European_Americans","Julie_Bowen | Julie_Bowen"
"Just Fab and Kimora Lee Simmons made it ",2,"race","race::African_Americans | race::Asian_Americans","Kimora_Lee_Simmons | Kimora_Lee_Simmons"
"Kadeem Hardison is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Kadeem_Hardison | Kadeem_Hardison"
"Karen Steele was an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Karen_Steele | Karen_Steele"
"Kaufman, David, Doris Day: The Untold Story ",2,"gender | race","gender::American_actresses | race::European_Americans","Doris_Day | Doris_Day"
"Kelly is mentioned in Grace Kelly Blues ",2,"gender | race","gender::American_actresses | race::European_Americans","Grace_Kelly | Grace_Kelly"
"Kelsey Chow's residence is in Los Angeles, ",2,"race","race::Asian_Americans | race::European_Americans","Kelsey_Chow | Kelsey_Chow"
"Ken Norton's son Keith Norton was once ",2,"gender | race","gender::American_actors | race::African_Americans","Ken_Norton | Ken_Norton"
"Kenan Thompson is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Kenan_Thompson | Kenan_Thompson"
"Khary Payton is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Khary_Payton | Khary_Payton"
"Kim Kardashian's ass is nothing but an ",2,"gender | race","gender::American_actresses | race::European_Americans","Kim_Kardashian | Kim_Kardashian"
"Kim Stanley was an American actress, primarily ",2,"gender | race","gender::American_actresses | race::European_Americans","Kim_Stanley | Kim_Stanley"
"Kimberly Alexis Bledel is an American actress ",2,"gender | race","gender::American_actresses | race::European_Americans","Alexis_Bledel | Alexis_Bledel"
"Kimora Lee Simmons Leissner, known professionally as Kimora ",2,"race","race::African_Americans | race::Asian_Americans","Kimora_Lee_Simmons | Kimora_Lee_Simmons"
"Korinna Moon Bloodgood is an American actress ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Moon_Bloodgood | Moon_Bloodgood"
"Krista Allen is an American stand up ",2,"gender | race","gender::American_actresses | race::European_Americans","Krista_Allen | Krista_Allen"
"Kristanna Loken is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Kristanna_Loken | Kristanna_Loken"
"L. Scott Caldwell is an American actress known ",2,"gender | race","gender::American_actresses | race::African_Americans","L._Scott_Caldwell | L._Scott_Caldwell"
"LaTanya Richardson, often listed as LaTanya Richardson ",2,"gender | race","gender::American_actresses | race::African_Americans","LaTanya_Richardson | LaTanya_Richardson"
"LaVan Davis is an American singer, comedian, ",2,"gender | race","gender::American_actors | race::African_Americans","LaVan_Davis | LaVan_Davis"
"Lance Reddick is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Lance_Reddick | Lance_Reddick"
"Later variations, such as contemporary ballet ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Lauren Tom is an American actress and ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Lauren_Tom | Lauren_Tom"
"Laverne Cox is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Laverne_Cox | Laverne_Cox"
"Lawrence Gilliard Jr. is an American character actor ",2,"gender | race","gender::American_actors | race::African_Americans","Lawrence_Gilliard_Jr. | Lawrence_Gilliard_Jr."
"Left communism first came into focus as ",2,"political","political::communism | political::left-wing","Left_communism | Left_communism"
"Left communism, or the communist left, is ",2,"political","political::communism | political::left-wing","Left_communism | Left_communism"
"Left-wing fascism and left fascism are sociological ",2,"political","political::fascism | political::left-wing","Left-wing_fascism | Left-wing_fascism"
"Left-wing market anarchism is a strand of free-market ",2,"political","political::anarchism | political::left-wing","Left-wing_market_anarchism | Left-wing_market_anarchism"
"Left-wing nationalism can also include anti-imperialism and ",2,"political","political::left-wing | political::nationalism","Left-wing_nationalism | Left-wing_nationalism"
"Left-wing nationalism or leftist nationalism, also known ",2,"political","political::left-wing | political::nationalism","Left-wing_nationalism | Left-wing_nationalism"
"Left-wing populism, also called inclusionary populism and ",2,"political","political::left-wing | political::populism","Left-wing_populism | Left-wing_populism"
"Lena Horne was the first African-American elected ",2,"gender | race","gender::American_actresses | race::African_Americans","Lena_Horne | Lena_Horne"
"Liberalism and conservatism in Latin America have unique historical roots as ",2,"political","political::conservatism | political::liberalism","Liberalism_and_conservatism_in_Latin_America | Liberalism_and_conservatism_in_Latin_America"
"Lighting Technician: sets up lights and wiring, ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"Lighting Technicians may also lay electrical cables, ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"Lighting technicians are routinely required to lift ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"Lighting technicians generally spend a lot of time ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"Like The Bob Newhart Show, Newhart was ",2,"gender | race","gender::American_actors | race::European_Americans","Bob_Newhart | Bob_Newhart"
"Linda Park is a Korean-born American actress, ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Linda_Park | Linda_Park"
"Linda Ronstadt's great-grandfather, graduate engineer Friedrich August ",2,"race","race::European_Americans | race::Hispanic_and_Latino_Americans","Linda_Ronstadt | Linda_Ronstadt"
"Live stunt performers include escape artists, sword ",2,"profession","profession::entertainer_occupations | profession::film_and_television_occupations","Stunt_performer | Stunt_performer"
"Loretta Devine is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Loretta_Devine | Loretta_Devine"
"Lorna Luft and Friends – A Tribute ",2,"gender | race","gender::American_actresses | race::European_Americans","Lorna_Luft | Lorna_Luft"
"Lorna Luft is an American television, stage, ",2,"gender | race","gender::American_actresses | race::European_Americans","Lorna_Luft | Lorna_Luft"
"Louisville Mayor Greg Fischer stated, ""Muhammad Ali ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"Lucille Ball and several other actors participate
""Wanda ",2,"gender | race","gender::American_actresses | race::European_Americans","Lucille_Ball | Lucille_Ball"
"Lucy Liu is an American actress, who ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Lucy_Liu | Lucy_Liu"
"Lynn Whitfield is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Lynn_Whitfield | Lynn_Whitfield"
"Mahershala Ali is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Mahershala_Ali | Mahershala_Ali"
"Many disciplines of electrical engineering use tests ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
